objectid,site_name,site_categ,site_type,shape_stat,common_nam,sci_name,taxon_leve,class_name,establish,establish1,data_origi,local_id,reference,origin,origin_met,originator,last_visit,last_vis_1,last_vis_2,next_visit,last_vis_3,last_vis_4,last_vis_5,assoc_visi,assoc_site,assoc_obs,assoc_surv,field_loca,source_geo,comments,gis_acres,gis_miles,fs_unit_id,fs_unit_na,data_sourc,last_updat,site_cn,spatial_id,exempt_fro,shape_area,shape_len,canopy_cover,focal_mean,lf_sclass,EVT_GP_N,elevation,slope,aspect,TRI,TPI,geom
75,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2015-05-26,Exact,Forest Service,SHHA - R02F03D06T13c - Echo Peak 3,Echo Peak,Artificial,Direct,"WILDLIFE, CREW (Limited Experience)",2024-06-27,2024-06-27,Exact,NA,Inactive,Usable,Reproducing,3,0,0,0,10,Point,NA,0.078,0.039,0203,Black Hills National Forest,03,2024-11-06,1cbd90d3-10ce-4102-97af-0118f952fcc0,1cbd90d3-10ce-4102-97af-0118f952fcc0,NA,3.5158165073e-8,6.89979709063e-4,55,37.84000015258789,D,"Ponderosa Pine Forest, Woodland and Savanna",1340,3.0471527576446533,117.6459732055664,9.375,-2.375,"c(-589023.708824374, 2347844.34677658)"
2786,Raptor Nest,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2013-09-26,Exact,Forest Service,COHA - R02F03D06T14a - Victoria Gulch 1,Victoria Gulch,Natural,Direct,"WATSON, EVAN (Experienced), WILDLIFE, CREW (Limited Experience)",2021-06-02,2021-06-02,Exact,NA,Inactive,Usable,Reproducing,4,0,1,0,10,Point,"Nest site in single storied PIPO stand with PIPO/JUNCOM understory. Canopy cover 40-70%;, HSS: 3C; Nest in PIPO, Nest in fair condition; Tree Height 55 ft.; DBH 11.2""; Nest Height 41 ft.; Nest Aspect 108 degrees; Nest tree is green with no signs of MPB i",0.078,0.039,0203,Black Hills National Forest,03,2023-01-23,bbcb95a6-3193-4063-b64d-5417c4747ba5,bbcb95a6-3193-4063-b64d-5417c4747ba5,NA,3.52084273815e-8,6.90631449547e-4,59,59.599998474121094,E,"Ponderosa Pine Forest, Woodland and Savanna",1435,3.553931474685669,102.52880859375,11.25,-3.75,"c(-590728.036384432, 2357605.89088586)"
5775,Cabin Canyon SSHA Nest B,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2020-07-29,Exact,Forest Service,SJ-SSHA-D03B,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced)",2020-07-29,2020-07-29,Exact,NA,Inactive,Usable,Reproducing,1,0,0,0,0,Point,"Small stick nest in tight group of large PIPO, near tall QUGA",0.078,0.039,0213,San Juan National Forest,00,2021-11-19,d965e58c-fbfd-41f2-bed8-bbc1e3ddb3b9,d965e58c-fbfd-41f2-bed8-bbc1e3ddb3b9,NA,3.2039500368e-8,6.48893769654e-4,47,39.08000183105469,D,"Ponderosa Pine Forest, Woodland and Savanna",2504,1.5680983066558838,254.53878784179688,5.375,-1.875,"c(-1098184.91532245, 1698020.47356382)"
8796,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2020-06-29,Exact,Forest Service,SHHA - R02F03D06T55a - Doughboy,Dourghtey,Natural,Unknown,"WRIGHT, JOHN ALEXANDER (Limited Experience), PIERCE, COOPER REED (Limited Experience)",2020-06-29,2020-06-29,Exact,NA,Inactive,Usable,Reproducing,1,0,0,0,10,Point,NA,0.078,0.039,0203,Black Hills National Forest,03,2021-04-29,0ce1a2a9-2849-428e-8fc0-317b500c7225,0ce1a2a9-2849-428e-8fc0-317b500c7225,NA,3.52253365725e-8,6.9085086179e-4,59,42.31999969482422,E,"Ponderosa Pine Forest, Woodland and Savanna",1679,2.099374771118164,40.03025817871094,10.375,-7.125,"c(-612135.944693015, 2362530.48784379)"
9619,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2019-09-10,Exact,Forest Service,SHHA - R02F03D06T48c - Buck Mountain 3,Buck Mtn,Natural,Direct,"ELIASON, JENNIFER (Experienced), MCENROE, MARGARET KELLY (Limited Experience), PIERCE, COOPER REED (Limited Experience)",2019-09-10,2019-09-10,Exact,NA,Inactive,Usable,Reproducing,1,0,0,0,10,Point,"Skies cloudy/overcast; precipitation rain; temperature 62 degrees F; wind speed avg 0, max 1.9; nest located in poor condition; represents new territory; site status is unknowm; nest overstory is PINPON and POPTRE canopy cover is 35%; structural stage is",0.078,0.039,0203,Black Hills National Forest,03,2021-02-23,ac66acee-ab0c-4875-93b6-c7ae3e7058b3,ac66acee-ab0c-4875-93b6-c7ae3e7058b3,NA,3.5279750556e-8,6.91556451691e-4,62,59.15999984741211,C,"Ponderosa Pine Forest, Woodland and Savanna",1515,2.161418914794922,30.379125595092773,24.375,-23.375,"c(-598707.857595119, 2371815.9741326)"
10080,Little Bill COHA Nest B,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2021-07-20,Day,Forest Service,SJ-COHA-D24B,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced)",2021-07-20,2021-07-20,Day,NA,Inactive,Usable,Dependent or Nestling Period,1,0,0,0,0,Point,NA,0.078,0.039,0213,San Juan National Forest,02,2021-11-19,81018bc8-47b9-45ff-876c-d8311ed63e3b,81018bc8-47b9-45ff-876c-d8311ed63e3b,NA,3.20877995685e-8,6.49537779868e-4,52,44.63999938964844,E,"Ponderosa Pine Forest, Woodland and Savanna",2514,3.063681125640869,282.724365234375,10.25,5.75,"c(-1105131.77142054, 1711788.96538569)"
18303,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2024-10-21,Exact,Forest Service,SHHA - R02F03D06T42c - Solomon,Myersville,Natural,Direct,"ELIASON, JENNIFER (Experienced)",2024-10-21,2024-10-21,Exact,NA,Inactive,Usable,Reproducing,1,0,0,0,10,Point,"Flattened stick base sits on branches; old mans beard/needles on sticks;
nest in poor condition in live lower slope Picgla
Nest Height: 31 ft
Nest Aspect: 140 degrees
Tree Height: 50 ft
Tree DBH: 9.4 in
Basal Area at Site (>5"" DBH): 90
Site Slope: 17%
Si",0.078,0.039,0203,Black Hills National Forest,03,2024-11-06,13294D81-1198-4886-B7C9-ABB076B4A671,13294D81-1198-4886-B7C9-ABB076B4A671,NA,3.5282518469e-8,6.9159211979e-4,68,63.880001068115234,E,"Ponderosa Pine Forest, Woodland and Savanna",1682,5.886433124542236,15.47401237487793,18.25,-11.75,"c(-617041.974352801, 2373821.90471226)"
19204,Little Bill COHA Nest C,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2021-07-20,Day,Forest Service,SJ-COHA-D24C,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced)",2021-07-20,2021-07-20,Day,NA,Inactive,Usable,Dependent or Nestling Period,1,0,0,0,0,Point,NA,0.078,0.039,0213,San Juan National Forest,02,2021-11-19,2d3a260a-c3eb-4693-8880-dd9c4f91f7a6,2d3a260a-c3eb-4693-8880-dd9c4f91f7a6,NA,3.2088004607e-8,6.49540625262e-4,52,44.79999923706055,E,"Ponderosa Pine Forest, Woodland and Savanna",2514,3.063681125640869,282.724365234375,10.25,5.75,"c(-1105157.21230702, 1711854.01723926)"
23147,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2017-12-13,Exact,Forest Service,SHHA - R02F03D06T29g - Little Thompson Draw 7,Little Thompson Draw,Natural,Direct,"WATSON, EVAN (Experienced)",2020-08-18,2020-08-18,Exact,NA,Inactive,Usable,Reproducing,3,0,0,0,10,Point,Nest in poor condition in live BETPAP in drainage bottom appears to be an old Acc. striatus nest.  Nest height is 40 ft with aspect of 177 degrees.  Nest tree is 61 ft tall with 13.4 inch DBH.  Slope at nest site is 4% and aspect is 7 degrees.  Nest stan,0.078,0.039,0203,Black Hills National Forest,03,2021-02-23,31ea69c0-451d-4844-aa6c-1b4019d1cf5b,31ea69c0-451d-4844-aa6c-1b4019d1cf5b,NA,3.5185316027e-8,6.90331939338e-4,62,43.2400016784668,E,"Ponderosa Pine Forest, Woodland and Savanna",1784,3.3990578651428223,53.45502853393555,14.75,-6.5,"c(-613288.355933214, 2354983.89976405)"
26703,Glade COHA Nest B,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2021-08-02,Day,Forest Service,SJ-COHA-D26B,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced)",2021-08-02,2021-08-02,Day,NA,Inactive,Usable,Semi-Dependent or Fledgling Period,1,0,0,0,0,Point,NA,0.078,0.039,0213,San Juan National Forest,02,2021-11-19,3670c6a7-eae9-4211-8883-ae1e4fe5cbea,3670c6a7-eae9-4211-8883-ae1e4fe5cbea,NA,3.208947273e-8,6.49559783697e-4,52,46.279998779296875,E,Spruce-Fir Forest and Woodland,2529,1.771108865737915,266.87786865234375,7.375,-4.125,"c(-1102873.19813042, 1711929.35321138)"
